country,totalCases,date
Germany,6980000,2021/12/23
Germany,6980000,2021/12/24
Germany,6940000,2021/12/22
Germany,6900000,2021/12/21
Germany,6830000,2021/12/20
Germany,6810000,2021/12/18
Germany,6810000,2021/12/19
Germany,6760000,2021/12/17
Germany,6740000,2021/12/16
Germany,6690000,2021/12/15
Iran,6190000,2021/12/27
Iran,6190000,2021/12/28
Iran,6190000,2021/12/29
Iran,6180000,2021/12/21
Iran,6180000,2021/12/22
Iran,6180000,2021/12/23
Iran,6180000,2021/12/24
Iran,6180000,2021/12/25
Iran,6180000,2021/12/26
Iran,6170000,2021/12/16
Iran,6170000,2021/12/17
Iran,6170000,2021/12/18
Iran,6170000,2021/12/19
Iran,6170000,2021/12/20
Iran,6160000,2021/12/15
Spain,6130000,2021/12/29
Spain,6030000,2021/12/28
Spain,5930000,2021/12/27
Italy,5850000,2021/12/29
Italy,5760000,2021/12/28
Spain,5720000,2021/12/23
Spain,5720000,2021/12/24
Spain,5720000,2021/12/25
Spain,5720000,2021/12/26
Italy,5680000,2021/12/27
Spain,5650000,2021/12/22
Italy,5650000,2021/12/26
Italy,5620000,2021/12/25
Spain,5590000,2021/12/21
Italy,5570000,2021/12/24
Argentina,5560000,2021/12/29
Spain,5540000,2021/12/20
Italy,5520000,2021/12/23
Argentina,5510000,2021/12/28
Argentina,5480000,2021/12/27
Italy,5470000,2021/12/22
Spain,5460000,2021/12/17
Spain,5460000,2021/12/18
Spain,5460000,2021/12/19
Argentina,5460000,2021/12/26
Argentina,5450000,2021/12/24
Argentina,5450000,2021/12/25
Italy,5440000,2021/12/21
Argentina,5430000,2021/12/23
Spain,5420000,2021/12/16
Argentina,5420000,2021/12/22
Italy,5410000,2021/12/20
Argentina,5400000,2021/12/20
Argentina,5400000,2021/12/21
Spain,5390000,2021/12/15
Argentina,5390000,2021/12/18
Argentina,5390000,2021/12/19
Italy,5390000,2021/12/19
Argentina,5380000,2021/12/16
Argentina,5380000,2021/12/17
Argentina,5370000,2021/12/15
Italy,5360000,2021/12/18
Italy,5340000,2021/12/17
Italy,5310000,2021/12/16
Italy,5280000,2021/12/15
Colombia,5140000,2021/12/29
Colombia,5130000,2021/12/27
Colombia,5130000,2021/12/28
Colombia,5120000,2021/12/23
Colombia,5120000,2021/12/24
Colombia,5120000,2021/12/25
Colombia,5120000,2021/12/26
Colombia,5110000,2021/12/18
Colombia,5110000,2021/12/19
Colombia,5110000,2021/12/20
Colombia,5110000,2021/12/21
Colombia,5110000,2021/12/22
Colombia,5100000,2021/12/15
Colombia,5100000,2021/12/16
Colombia,5100000,2021/12/17
Indonesia,4260000,2021/12/15
Indonesia,4260000,2021/12/16
Indonesia,4260000,2021/12/17
Indonesia,4260000,2021/12/18
Indonesia,4260000,2021/12/19
Indonesia,4260000,2021/12/20
Indonesia,4260000,2021/12/21
Indonesia,4260000,2021/12/22
Indonesia,4260000,2021/12/23
Indonesia,4260000,2021/12/24
Indonesia,4260000,2021/12/25
Indonesia,4260000,2021/12/26
Indonesia,4260000,2021/12/27
Indonesia,4260000,2021/12/28
Indonesia,4260000,2021/12/29
Poland,4080000,2021/12/29
Poland,4060000,2021/12/28
Poland,4050000,2021/12/26
Poland,4050000,2021/12/27
Poland,4040000,2021/12/25
Poland,4030000,2021/12/24
Poland,4020000,2021/12/23
Poland,4000000,2021/12/22
Poland,3980000,2021/12/21
Poland,3970000,2021/12/20
Poland,3960000,2021/12/19
Mexico,3960000,2021/12/29
Mexico,3950000,2021/12/24
Mexico,3950000,2021/12/25
Mexico,3950000,2021/12/26
Mexico,3950000,2021/12/27
Mexico,3950000,2021/12/28
Poland,3940000,2021/12/18
Mexico,3940000,2021/12/22
Mexico,3940000,2021/12/23
Mexico,3930000,2021/12/16
Mexico,3930000,2021/12/17
Mexico,3930000,2021/12/18
Mexico,3930000,2021/12/19
Mexico,3930000,2021/12/20
Mexico,3930000,2021/12/21
Mexico,3920000,2021/12/15
Poland,3920000,2021/12/17
Poland,3900000,2021/12/16
Poland,3880000,2021/12/15
Ukraine,3830000,2021/12/27
Ukraine,3830000,2021/12/28
Ukraine,3830000,2021/12/29
Ukraine,3820000,2021/12/24
Ukraine,3820000,2021/12/25
Ukraine,3820000,2021/12/26
Ukraine,3810000,2021/12/23
Ukraine,3800000,2021/12/22
Ukraine,3790000,2021/12/19
Ukraine,3790000,2021/12/20
Ukraine,3790000,2021/12/21
Ukraine,3780000,2021/12/18
Ukraine,3770000,2021/12/17
Ukraine,3760000,2021/12/16
Ukraine,3750000,2021/12/15
South Africa,3430000,2021/12/29
South Africa,3420000,2021/12/27
South Africa,3420000,2021/12/28
South Africa,3410000,2021/12/25
South Africa,3410000,2021/12/26
South Africa,3390000,2021/12/24
South Africa,3370000,2021/12/23
South Africa,3350000,2021/12/22
South Africa,3330000,2021/12/21
South Africa,3320000,2021/12/20
South Africa,3310000,2021/12/19
South Africa,3290000,2021/12/18
South Africa,3280000,2021/12/17
South Africa,3260000,2021/12/16
South Africa,3230000,2021/12/15
Netherlands,3110000,2021/12/29
Netherlands,3090000,2021/12/28
Netherlands,3080000,2021/12/27
Netherlands,3070000,2021/12/26
Netherlands,3060000,2021/12/25
Netherlands,3050000,2021/12/24
Netherlands,3030000,2021/12/23
Netherlands,3020000,2021/12/22
Netherlands,3010000,2021/12/21
Netherlands,3000000,2021/12/20
Netherlands,2980000,2021/12/19
Netherlands,2970000,2021/12/18
Netherlands,2960000,2021/12/17
Netherlands,2940000,2021/12/16
Netherlands,2930000,2021/12/15
Philippines,2840000,2021/12/15
Philippines,2840000,2021/12/16
Philippines,2840000,2021/12/17
Philippines,2840000,2021/12/18
Philippines,2840000,2021/12/19
Philippines,2840000,2021/12/20
Philippines,2840000,2021/12/21
Philippines,2840000,2021/12/22
Philippines,2840000,2021/12/23
Philippines,2840000,2021/12/24
Philippines,2840000,2021/12/25
Philippines,2840000,2021/12/26
Philippines,2840000,2021/12/27
Philippines,2840000,2021/12/28
Philippines,2840000,2021/12/29
Malaysia,2750000,2021/12/28
Malaysia,2750000,2021/12/29
Malaysia,2740000,2021/12/24
Malaysia,2740000,2021/12/25
Malaysia,2740000,2021/12/26
Malaysia,2740000,2021/12/27
Malaysia,2730000,2021/12/22
Malaysia,2730000,2021/12/23
Malaysia,2720000,2021/12/18
Malaysia,2720000,2021/12/19
Malaysia,2720000,2021/12/20
Malaysia,2720000,2021/12/21
Malaysia,2710000,2021/12/16
Malaysia,2710000,2021/12/17
Malaysia,2700000,2021/12/15
Czechia,2460000,2021/12/29
Czechia,2450000,2021/12/26
