country,newCases,date
Greece,6647,2021/12/23
Greece,6590,2021/12/25
Ukraine,6589,2021/12/22
Slovakia,6550,2021/12/15
Greece,6542,2021/12/21
India,6531,2021/12/26
India,6358,2021/12/27
Portugal,6334,2021/12/27
Colombia,6326,2021/12/29
India,6317,2021/12/21
Slovakia,6313,2021/12/29
Ireland,6307,2021/12/22
Ukraine,6281,2021/12/21
Low income,6274,2021/12/26
Canada,6263,2021/12/18
Poland,6253,2021/12/26
South Korea,6234,2021/12/18
South Korea,6231,2021/12/23
Nigeria,6158,2021/12/22
Canada,6042,2021/12/15
Czechia,6002,2021/12/19
Finland,5932,2021/12/20
Belgium,5838,2021/12/22
South Korea,5836,2021/12/24
Portugal,5800,2021/12/15
Croatia,5768,2021/12/29
Portugal,5754,2021/12/21
Norway,5741,2021/12/15
Slovakia,5715,2021/12/28
Zimbabwe,5678,2021/12/15
Mexico,5651,2021/12/15
Argentina,5648,2021/12/17
Greece,5635,2021/12/22
Oceania,5616,2021/12/21
Ukraine,5616,2021/12/29
South Africa,5603,2021/12/26
Slovakia,5584,2021/12/17
Slovakia,5550,2021/12/24
Australia,5531,2021/12/21
Hungary,5506,2021/12/15
Ukraine,5451,2021/12/25
South Korea,5418,2021/12/25
South Korea,5406,2021/12/28
Argentina,5337,2021/12/20
India,5326,2021/12/20
South Korea,5316,2021/12/19
Argentina,5301,2021/12/16
Hungary,5298,2021/12/16
Ireland,5269,2021/12/21
Zambia,5255,2021/12/29
South Korea,5201,2021/12/20
Ethiopia,5185,2021/12/28
Slovakia,5167,2021/12/21
Portugal,5137,2021/12/16
Ireland,5124,2021/12/19
Brazil,5078,2021/12/15
Portugal,5062,2021/12/18
Sweden,5059,2021/12/23
Angola,5035,2021/12/28
South Korea,5029,2021/12/29
Poland,5027,2021/12/27
Ethiopia,5013,2021/12/25
Hungary,4977,2021/12/17
Brazil,4969,2021/12/26
Thailand,4969,2021/12/26
Bolivia,4934,2021/12/29
Slovakia,4919,2021/12/18
Botswana,4837,2021/12/20
Argentina,4819,2021/12/15
Norway,4799,2021/12/21
Ireland,4788,2021/12/20
Greece,4786,2021/12/15
Greece,4761,2021/12/17
Norway,4702,2021/12/28
Ethiopia,4700,2021/12/29
Greece,4696,2021/12/16
Norway,4689,2021/12/17
Sweden,4688,2021/12/22
Croatia,4671,2021/12/15
Low income,4645,2021/12/17
Portugal,4644,2021/12/17
Oceania,4613,2021/12/20
Low income,4581,2021/12/16
Ethiopia,4573,2021/12/24
Norway,4520,2021/12/16
Australia,4492,2021/12/20
Low income,4483,2021/12/15
Mexico,4426,2021/12/29
Norway,4407,2021/12/29
Bolivia,4371,2021/12/24
Zimbabwe,4367,2021/12/16
Brazil,4363,2021/12/17
